,name,team,position,total_points,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,goals_conceded,own_goals,yellow_cards,red_cards,value,PV-ratio
18,Ben Mee,Brentford,DEF,101,2018,3,1,9,0,0,0,24,0,2,0,50,2.02
19,Alisson Ramses Becker,Liverpool,GK,100,2070,0,1,7,73,1,0,29,0,0,0,54,1.8518518518518519
20,Ollie Watkins,Aston Villa,FWD,99,1885,7,6,6,0,0,0,33,0,1,0,71,1.3943661971830985
21,Bernd Leno,Fulham,GK,99,2070,0,0,7,94,0,0,29,0,2,0,45,2.2
22,Luke Shaw,Man Utd,DEF,99,1751,1,4,9,0,0,0,22,0,4,0,54,1.8333333333333333
23,William Saliba,Arsenal,DEF,98,2145,2,1,9,0,0,0,25,1,4,0,53,1.849056603773585
24,Dan Burn,Newcastle,DEF,98,2034,0,0,13,0,0,0,14,0,2,0,46,2.130434782608696
25,James Maddison,Leicester,MID,98,1362,9,5,4,0,0,0,30,0,6,0,81,1.2098765432098766
26,José Malheiro de Sá,Wolves,GK,96,2160,0,0,6,67,2,0,33,0,0,0,50,1.92
27,James Ward-Prowse,Southampton,MID,95,2160,7,2,2,0,0,1,42,2,4,0,62,1.532258064516129
28,Sven Botman,Newcastle,DEF,95,1867,0,1,12,0,0,0,12,0,1,0,45,2.111111111111111
29,Eberechi Eze,Crystal Palace,MID,95,1648,5,3,7,0,0,0,23,0,1,0,54,1.7592592592592593
30,Harvey Barnes,Leicester,MID,94,1876,8,2,6,0,0,0,33,0,1,0,67,1.4029850746268657
31,Andreas Hoelgebaum Pereira,Fulham,MID,94,2079,2,9,8,0,0,0,26,0,6,0,44,2.1363636363636362
32,Pierre-Emile Højbjerg,Spurs,MID,93,2138,4,3,8,0,0,0,35,0,2,0,55,1.690909090909091
33,Gabriel dos Santos Magalhães,Arsenal,DEF,92,2160,2,0,9,0,0,0,25,0,5,0,52,1.7692307692307692
34,Aaron Ramsdale,Arsenal,GK,91,2160,0,0,9,56,0,0,25,0,0,0,49,1.8571428571428572
35,Benjamin White,Arsenal,DEF,91,1827,0,2,10,0,0,0,16,0,4,0,47,1.9361702127659575
36,Vicente Guaita,Crystal Palace,GK,90,2160,0,0,6,78,0,0,31,0,1,0,44,2.0454545454545454
37,Granit Xhaka,Arsenal,MID,89,2036,3,5,8,0,0,0,25,0,3,0,49,1.816326530612245
38,Michael Olise,Crystal Palace,MID,88,1535,2,7,5,0,0,0,20,0,2,0,54,1.6296296296296295
39,Son Heung-min,Spurs,MID,87,1840,5,3,7,0,0,0,30,0,1,0,116,0.75
40,Jarrod Bowen,West Ham,MID,87,2151,4,4,4,0,0,1,31,0,1,0,80,1.0875
41,Tim Ream,Fulham,DEF,86,2247,1,0,8,0,0,0,31,0,2,0,46,1.8695652173913044
42,Bernardo Veiga de Carvalho e Silva,Man City,MID,86,1763,3,6,5,0,0,0,21,0,4,0,68,1.2647058823529411
43,Phil Foden,Man City,MID,85,1165,7,4,2,0,0,0,12,0,1,0,80,1.0625
